date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2014-06-23,Croatia,Mexico,1,3,True,Lose,2014,-3,3,-1.5999999999999943,5.200000000000003,10,-2,-2,-1,1,6,0,-2,-2
2014-06-23,Netherlands,Chile,2,0,True,Win,2014,-1,3.299999999999997,8.299999999999997,1.5,-28,7,6,0,0,12,-2,2,1
2014-06-24,Costa Rica,England,0,0,True,Draw,2014,-4,-11.200000000000003,-11.400000000000006,-8.400000000000006,-6,0,-4,-1,0,0,-1,0,18
2014-06-24,Italy,Uruguay,0,1,True,Lose,2014,2,3.299999999999997,-2,5.799999999999997,10,-4,-5,0,1,-1,3,-1,2
2014-06-24,Japan,Colombia,1,4,True,Lose,2014,-2,-3.5999999999999943,-10.299999999999997,-2.5999999999999943,12,4,10,0,0,-9,-6,-3,38
2014-06-25,Ecuador,France,0,0,True,Draw,2014,-14,-13,-8.299999999999997,-8.200000000000003,-20,-6,-9,1,1,11,7,0,9
2014-06-25,Nigeria,Argentina,2,3,True,Lose,2014,0,-10.400000000000006,-14.599999999999994,-7,-14,-6,-6,2,0,11,8,-1,39
2014-06-26,Algeria,Russia,1,1,True,Draw,2014,-11,-4,-1,-3,-6,-1,-2,1,0,1,-1,0,3
2014-06-26,South Korea,Belgium,0,1,True,Lose,2014,-11,-10.700000000000003,-7.299999999999997,-7.5,2,1,2,0,-1,5,1,-1,46
2014-06-26,Portugal,Ghana,2,1,True,Win,2014,10,10,12,3,8,4,1,-2,0,5,-3,1,-33
2014-06-26,United States,Germany,0,1,True,Lose,2014,-6,-11.5,-8.700000000000003,-9,-26,-8,-9,1,0,6,5,-1,11
2014-06-28,Colombia,Uruguay,2,0,True,Win,2014,-6,-2.700000000000003,-1.7000000000000028,2.5999999999999943,2,0,-7,-1,0,2,2,2,1
2014-06-29,Costa Rica,Greece,1,1,True,Win,2014,4,-6,-3.700000000000003,-2.200000000000003,-14,-11,-18,2,1,7,7,0,16
2014-06-29,Netherlands,Mexico,2,1,True,Win,2014,2,1.7000000000000028,5.700000000000003,6.700000000000003,10,1,2,-3,0,-4,3,1,-5
2014-06-30,France,Nigeria,2,0,True,Win,2014,5,10.200000000000003,7.599999999999994,8.799999999999997,6,3,4,1,0,-3,-2,2,-27
2014-06-30,Germany,Algeria,2,1,True,Win,2014,14,10.700000000000003,10.400000000000006,9.5,40,15,18,0,0,-9,-7,1,-20
2014-07-01,Argentina,Switzerland,1,0,True,Win,2014,-1,4.200000000000003,13,4.400000000000006,22,15,15,1,0,-9,-4,1,-1
2014-07-01,Belgium,United States,2,1,True,Win,2014,3,8.200000000000003,5,5.5,-4,17,24,0,0,16,-11,1,-2
