date,home_team,away_team,home_team_score,away_team_score,neutral_location,home_team_result,year,goalkeeper_differential,defense_differential,offense_differential,midfield_differential,possesion_differential,shots_on_target_differential,shots_differential,yellow_cards_differential,red_card_differential,fouls_differential,saves_differential,score_differential,fifa_rank_differential
2009-06-06,Paraguay,Chile,0,2,False,Lose,2009,4,5.5,3.4000000000000057,-4.400000000000006,0,-3,-2,2,0,0,1,-2,-24
2009-06-06,Uruguay,Brazil,0,4,False,Lose,2009,-12,-6.700000000000003,-5.700000000000003,-10,0,-1,6,0,0,1,-3,-4,12
2009-06-10,Brazil,Paraguay,2,1,False,Win,2009,13,10.200000000000003,6,11,0,7,7,1,0,-5,-6,1,-8
2009-06-10,Ecuador,Argentina,2,0,False,Win,2009,-8,-16.200000000000003,-9.700000000000003,-14.700000000000003,0,3,5,2,0,-1,-1,2,37
2009-06-10,Netherlands,Norway,2,0,False,Win,2009,12,3.5,8.700000000000003,9.299999999999997,24,4,9,-2,0,-6,-4,2,-45
2009-08-12,Norway,Scotland,4,0,False,Win,2009,-8,4.299999999999997,2,-1.7999999999999972,26,5,10,1,-1,-7,-5,4,26
2009-09-05,Argentina,Brazil,1,3,False,Lose,2009,-11,-2.299999999999997,2,1.2999999999999972,0,2,5,-3,0,0,-4,-2,7
2009-09-05,Chile,Venezuela,2,2,False,Draw,2009,12,13.700000000000003,5.299999999999997,7.700000000000003,0,3,7,-3,0,9,-3,0,-30
2009-09-05,Colombia,Ecuador,2,0,False,Win,2009,2,6,1.5999999999999943,-0.20000000000000284,0,4,5,-2,-1,-3,-2,2,12
2009-09-05,France,Romania,1,1,False,Draw,2009,9,6.200000000000003,6.299999999999997,11.299999999999997,6,5,9,-1,0,4,-5,0,-16
2009-09-05,Georgia,Italy,0,2,False,Lose,2009,-27,-10.799999999999997,-17.599999999999994,-18,-20,-4,-10,1,0,15,0,-2,108
2009-09-05,Peru,Uruguay,1,0,False,Win,2009,-14,-8.5,-3,-7.5,0,0,-4,1,-1,0,1,1,63
2009-09-05,Poland,Northern Ireland,1,1,False,Draw,2009,7,-4.299999999999997,3,3.5,14,5,9,1,0,0,-4,0,5
2009-09-05,Scotland,North Macedonia,2,0,False,Win,2009,5,4.5,5.299999999999997,15.200000000000003,-2,-3,3,0,0,2,4,2,-26
2009-09-05,Spain,Belgium,5,0,False,Win,2009,14,5.799999999999997,8.299999999999997,9.5,34,-1,6,0,0,1,1,5,-66
